Company,Sector,gen_index,educ_index,exp_index,ten_index,age_index,z_total_index,Quartiles,sa_finance1_cocode,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_pct_shares_hld_govt,sa_bd_tot_risk_wt_ast_and_contingencies,sa_bsl_cap_adeq_ratio,sa_bsl_t1_cap_adeq_ratio,sa_bsl_tot_elg_cap,sa_bsl_tier1_elg_cap,sa_bd_bsl3_cet1_cap_ratio,sa_bd_bsl3_cap_adeq_ratio,sa_bd_bsl3_t1_cap_adeq_ratio,sa_bd_bsl3_t2_cap_adeq_ratio,sa_bd_bsl3_cap_adeq_amt,sa_bd_cap_adeq_ratio_series,sa_bd_int_inc_pct_working_funds,sa_bd_non_int_inc_pct_working_funds,sa_bd_op_profit_pct_working_funds,sa_gnpa_advance,sa_bd_nnpa_pct_net_adv,sa_bd_return_on_ast,sa_bd_profit_per_employee,sa_bd_gross_npa_opening_bal,sa_bd_gross_npa_closing_bal,sa_bd_net_npa_opening_bal,sa_bd_net_npa_closing_bal,sa_bd_prov_for_npa,sa_total_gross_restruc_acs,sa_bd_non_corp_debt_restruct,sa_bd_corp_debt_restruct,sa_bd_total_no_borrower_restuct_acs,sa_bd_total_no_borrower_non_corp_debt_restruct,sa_bd_total_no_borrower_corp_debt_restruct,sa_bd_gross_npa_bank,sa_bd_gross_npa_rbi,sa_bd_divergence_gross_npa,sa_bd_net_npa_bank,sa_bd_net_npa_rbi,sa_bd_divergence_net_npa,sa_bd_credit_deposit_ratio,sa_net_int_margin,sa_bd_int_spread,sa_bd_avg_ret_on_adv,sa_bd_avg_cost_of_deposits,Year
KARUR VYSYA BANK LTD.,PRIVATE,0.9979339,0.5950413,0.0330579,0.6404958,0.0867769,-1.899739,,117648,20160331,12,IGAAP,,,12.26,11.22,,,11.26,12.17,11.26,0.91,,12.17,9.85,1.28,2.24,1.3,0.55,1.03,0.787,6777.8,5111.8,2809.7,2161.7,2850,13619.6,10020.4,3599.2,169,158,11,,,,,,,,3.43,,11.67,7.4,2016
I C I C I BANK LTD.,PRIVATE,0.9737034,0.579255,0.1643535,0.5945946,0.4821037,-1.811312,,96379,20160331,12,IGAAP,,6071130,,,,,13,16.64,13.09,3.55,1009950,16.64,8.06,2.34,3.65,5.82,2.98,1.49,1.4,150946.9,262212.5,62555.3,129630.8,132581.7,197670.5,77056.4,120614.1,1365,1300,65,,,,,,,,3.49,2.82,9.47,5.88,2016
AXIS BANK LTD.,PRIVATE,0.9807099,0.4375,0.0933642,0.6651235,0.4753087,-1.347227,,256066,20160331,12,IGAAP,,4039491.8,,,,,12.48,15.29,12.51,2.78,617493,15.29,8.59,1.96,3.38,1.71,0.74,1.72,1.8,41101.9,60875.1,13167.1,25221.4,33933.7,128828.8,74154.3,54674.5,1187,1134,53,,,,,,,,3.9,,10.1,6.01,2016
UNITED BANK OF INDIA,PUBLIC,0.9750692,0.8642659,0.0249307,0.5138504,0.4986149,-1.299285,,257827,20160331,12,IGAAP,82,,10.46,7.23,,,7.74,10.08,7.93,2.15,73690,10.08,7.92,1.17,1.44,12.63,9.04,-0.22,1.209,65529.1,94710.1,40813.8,61107.1,33517.5,103339.8,54149.1,49190.7,8820,8774,46,,,,,,,61.35,2.01,1.41,9.93,6.58,2016
YES BANK LTD.,PRIVATE,0.9975,0.4375,0.09,0.635,0.3199999,-1.033152,,354608,20160331,12,IGAAP,,,,,,,10.3,16.5,10.7,5.8,218744.4,16.5,9.47,1.9,3.01,0.76,0.29,1.78,2.1,3134,7489.8,877.3,2844.7,4645.1,6244.9,5593.9,651,17,12,5,,,,,,,87.9,3.4,,11.5,,2016
FEDERAL BANK LTD.,PRIVATE,0.994513,0.648834,0.2688614,0.6639231,0.3017833,-0.7687759,,72607,20160331,12,IGAAP,,583301,,,,,13.36,13.93,13.36,0.57,81254.8,13.93,9.21,0.94,1.69,2.84,1.64,0.57,0.4,10577.3,16677.7,3732.7,9500.1,7005,16611,11682.1,4928.9,263,250,13,,,,,,,,3.14,,11.04,6.95,2016
D C B BANK LTD.,PRIVATE,0.9924386,0.3175804,0.0170132,0.6275992,0.4990548,-0.7404558,,59045,20160331,12,IGAAP,,134298.7,14.03,12.74,18369.9,16679.4,12.79,14.11,12.79,1.32,18950.2,14.11,9.97,1.29,2.05,1.51,0.75,1.14,0.5,1860.7,1973.8,1057,974.6,969.1,1189.4,1189.4,,8,8,,,,,,,,,3.94,,,,2016
INDUSIND BANK LTD.,PRIVATE,0.9909297,0.61678,0.1451247,0.5941043,0.4716553,-0.4666413,,100224,20160331,12,IGAAP,,,,,,,14.92,15.5,14.92,0.58,,15.5,9.92,2.75,3.46,0.87,0.36,1.91,0.992,5629.2,7768.2,2104.8,3217.5,4550.7,5353.2,2003.3,3349.9,12,4,8,,,,,,,,3.71,,12.24,7.25,2016
LAKSHMI VILAS BANK LTD.,PRIVATE,0.9984,0.64,0.1024,0.5184,0.4223999,-0.4169633,,126471,20160331,12,IGAAP,,,,,,,8.69,10.67,8.69,1.98,,10.67,9.89,1.17,1.57,1.97,1.18,0.69,0.4,4546.2,3912.5,3024.9,2316.4,1134.7,9912.4,4738.1,5174.3,55,45,10,,,,,,,,2.78,,,,2016
H D F C BANK LTD.,PRIVATE,0.9917355,0.5950413,0.0516529,0.6570248,0.4628099,-0.2488109,Q2,88297,20160331,12,IGAAP,,5297681.4,,,,,13.22,15.53,13.22,2.31,822759.6,15.53,9.25,1.65,3.28,0.94,0.28,1.89,1.5,34383.8,43928.3,8962.8,13203.7,30724.6,4966.6,2178.5,2788.1,19,9,10,,,,,,,85,4.2,,,,2016
