Company,Sector,gen_index,educ_index,exp_index,ten_index,age_index,z_total_index,Quartiles,sa_finance1_cocode,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_pct_shares_hld_govt,sa_bd_tot_risk_wt_ast_and_contingencies,sa_bsl_cap_adeq_ratio,sa_bsl_t1_cap_adeq_ratio,sa_bsl_tot_elg_cap,sa_bsl_tier1_elg_cap,sa_bd_bsl3_cet1_cap_ratio,sa_bd_bsl3_cap_adeq_ratio,sa_bd_bsl3_t1_cap_adeq_ratio,sa_bd_bsl3_t2_cap_adeq_ratio,sa_bd_bsl3_cap_adeq_amt,sa_bd_cap_adeq_ratio_series,sa_bd_int_inc_pct_working_funds,sa_bd_non_int_inc_pct_working_funds,sa_bd_op_profit_pct_working_funds,sa_gnpa_advance,sa_bd_nnpa_pct_net_adv,sa_bd_return_on_ast,sa_bd_profit_per_employee,sa_bd_gross_npa_opening_bal,sa_bd_gross_npa_closing_bal,sa_bd_net_npa_opening_bal,sa_bd_net_npa_closing_bal,sa_bd_prov_for_npa,sa_total_gross_restruc_acs,sa_bd_non_corp_debt_restruct,sa_bd_corp_debt_restruct,sa_bd_total_no_borrower_restuct_acs,sa_bd_total_no_borrower_non_corp_debt_restruct,sa_bd_total_no_borrower_corp_debt_restruct,sa_bd_gross_npa_bank,sa_bd_gross_npa_rbi,sa_bd_divergence_gross_npa,sa_bd_net_npa_bank,sa_bd_net_npa_rbi,sa_bd_divergence_net_npa,sa_bd_credit_deposit_ratio,sa_net_int_margin,sa_bd_int_spread,sa_bd_avg_ret_on_adv,sa_bd_avg_cost_of_deposits,Year
INDIAN BANK,PUBLIC,0.994375,0.774375,0.105625,0.59375,0.3987499,-0.248209,,98668,20160331,12,IGAAP,82.1,,13.67,12.29,,,11.68,13.2,12.08,1.12,,13.2,813,89,152,6.66,4.2,0.36,0.4,56704.4,88270.4,31469.5,54194,29267.6,89908.5,74499.1,15409.4,13219,13204,15,,,,,,,74.39,2.33,,9.63,6.76,2016
CITY UNION BANK LTD.,PRIVATE,0.9940829,0.6213018,0.147929,0.6035503,0.4615384,-0.232297,,48177,20160331,12,IGAAP,,,15.8,15.28,,,14.47,15.58,15.09,0.49,,15.58,9.91,1.38,2.81,2.41,1.53,1.5,1,3358.2,5119.8,2327.9,3231.5,1866.7,2888.5,2042.2,846.3,42,40,2,,,,,,,,3.81,,12.83,7.62,2016
KOTAK MAHINDRA BANK LTD.,PRIVATE,0.9969136,0.4783951,0.0030864,0.6111111,0.4938271,-0.13034,,122573,20160331,12,IGAAP,,,,,,,15.23,16.34,15.28,1.06,,16.34,9.36,1.49,2.31,2.36,1.06,1.19,0.7,12372.3,28381.1,6090.8,12619.6,15761.5,11097,2829.6,8267.4,3643,3625,18,,,,,,,,4.3,,,,2016
CANARA BANK,PUBLIC,0.9914266,0.75,0.1975309,0.6536351,0.4314129,-0.1087841,,41860,20160331,12,IGAAP,66.3,,,,,,8.18,11.08,8.8,2.28,,11.08,8.11,0.9,1.32,9.4,6.42,-0.52,-0.5,130399.6,316378.3,87400.9,208329.1,107451.7,219072.7,138432.7,80640,58472,58385,87,,,,,,,71.34,2.19,1.8,9.71,6.94,2016
BANK OF BARODA,PUBLIC,0.9960938,0.609375,0.25,0.6354166,0.4418403,-0.0846239,,30136,20160331,12,IGAAP,59.24,,14.2,11.21,,,10.29,13.17,10.79,2.39,,13.17,6.31,0.72,1.26,9.99,5.06,-0.78,-1,162614.4,405210.4,80694.9,194064.6,211145.8,290378,206661.5,75031,47548,47473,73,,,,,,,78.29,2.05,1.83,7.35,5.05,2016
I D B I BANK LTD.,PRIVATE,0.9970782,0.4273192,0.1643535,0.6574142,0.4967129,-0.0304645,,100283,20160331,12,IGAAP,73.98,,,,,,7.98,11.67,8.89,2.78,,11.67,8.33,1.01,1.6,10.07,6.78,-1.09,-2.1,126849.7,248750.7,59925.2,146433.9,101413.6,245050.2,161409.9,83640.3,366,290,76,,,,,,,,1.88,,,,2016
CORPORATION BANK,PUBLIC,0.9966716,0.7100592,0.1198225,0.6545858,0.410503,0.0922208,,51380,20160331,12,IGAAP,,,10.88,7.33,,,7.27,10.56,7.93,2.63,,10.56,8.82,0.79,1.41,9.98,6.53,-0.23,-0.3,71066.7,145442.5,44649.8,91601.4,52782.1,136121.2,83846.2,52275,602,536,66,,,,,,,68.39,2.06,1.93,10.23,7.51,2016
BANK OF INDIA,PUBLIC,0.9947107,0.7408264,0.0476033,0.6439669,0.4522314,0.1970927,,30148,20160331,12,IGAAP,68.01,,12.05,7.57,,,7.97,12.01,9.03,2.98,,12.01,6.49,0.57,0.94,,7.79,-0.94,0,231678.7,506389.8,137747,281073.4,206430.9,240099.4,159147.7,80951.7,42533,42466,67,,,,,,,,2.11,,8.28,5.25,2016
STATE BANK OF INDIA,PUBLIC,0.9934964,0.6813216,0.0751821,0.6540062,0.4979188,0.2605928,,236328,20160331,12,IGAAP,60.18,,13.94,10.41,,,9.81,13.12,9.92,3.2,,13.12,7.27,125,1.92,6.5,3.81,0.46,0.5,567253.4,981728,275905.8,558070.2,423657.8,661171.9,374837.8,284508.8,3755,3512,139,,,,,,,,2.96,24.73,0.46,14.16,2016
INDIAN OVERSEAS BANK,PUBLIC,0.9913467,0.8615468,0.1216874,0.6338561,0.4780962,0.3124309,Q3,98918,20160331,12,IGAAP,77.32,,,,,,7.1,9.66,7.75,1.92,,9.66,8.53,0.92,1.05,17.4,11.89,-0.97,-0.9,149224.5,300486.2,98133.3,192125.7,97433.8,172361.2,99410.6,71572.8,408,343,65,,,,,,,,1.94,,8.32,,2016
CENTRAL BANK OF INDIA,PUBLIC,0.9886827,0.8533273,0.101856,0.6518787,0.512449,0.3506127,,43461,20160331,12,IGAAP,79.94,,11.07,7.44,219460,147430,8.03,10.4,8.2,2.2,,10.4,8.85,0.66,0.9,11.95,7.36,-0.48,-0.376,118730,227210,68070,132420,82380,170912.3,107930.4,62981.9,30154,30111,54,,,,,,,71.44,2.78,,10.09,6.86,2016
ALLAHABAD BANK,PUBLIC,0.994304,0.8116767,0.2050552,0.6564614,0.4485582,0.355869,,11019,20160331,12,IGAAP,61.38,,10.73,7.3,,,8.3,11.02,8.41,2.61,,11.02,8.49,0.86,1.86,9.76,6.76,-0.33,-0.308,83579.7,153845.7,59788.9,102925.1,50920.6,83327.2,46537.8,36789.4,5316,5287,29,,,,,,,79.43,2.65,-4.52,9.24,,2016
BANK OF MAHARASHTRA,PUBLIC,0.9913467,0.8939968,0.0914008,0.6663061,0.4542996,0.3860323,,30153,20160331,12,IGAAP,81.61,,,,,,7.88,11.2,9.02,2.18,,11.2,8.71,0.68,1.56,9.34,6.35,0.07,0.073,64020.6,103858.5,41757.9,68320.3,34256.1,67888.1,35928.4,31959.8,34772,34738,34,,,,,,,80.03,2.59,,,6.75,2016
ORIENTAL BANK OF COMMERCE,PUBLIC,0.996796,0.9199003,0.0128159,0.6600214,0.3887504,0.4775075,,164888,20160331,12,IGAAP,55.17,,,,,,8.52,11.76,9.1,2.66,,11.76,8.78,0.77,1.61,9.57,6.7,0.07,0.073,76662.2,147017.8,48162.4,99321.5,47598.8,194127.4,117444.7,76682.7,30409,30336,73,,,,,,,73.61,2.66,,,7.19,2016
UNION BANK OF INDIA,PUBLIC,0.9966716,0.7303994,0.231139,0.660503,0.4733728,0.5061626,,257360,20160331,12,IGAAP,63.44,,11.14,8.23,,,7.95,10.56,8.14,2.42,,10.56,8.37,0.94,1.49,8.7,5.25,0.35,0.4,130308.7,241708.9,69189.7,140259.4,101449.5,176278.4,106315.8,69962.6,41099,41047,52,,,,,,,83.69,,2.16,9.63,7,2016
DHANLAXMI BANK LTD.,PRIVATE,0.9965398,0.9299308,0.0077855,0.6314878,0.4152249,0.510475,,59594,20160331,12,IGAAP,,,,,,,6.12,7.51,6.12,1.39,5037.8,7.51,9.26,0.59,0.3,6.36,2.73,-1.61,-0.01,5582.9,4589.2,2526.3,1931.9,2557,1442.9,598.4,844.5,56,1,,,,,,,,,,,,,2016
PUNJAB NATIONAL BANK,PUBLIC,0.9933361,0.8163265,0.0503957,0.6563932,0.4997917,0.5724826,,183861,20160331,12,IGAAP,62.08,,11.95,8.07,487563.8,329191.4,7.87,11.28,8.41,2.87,,11.28,7.28,1.06,1.88,12.9,8.61,-0.61,-0.6,256948.6,558183.3,153965,354225.6,198544.3,319747,165991.8,153755.3,372,288,84,,,,,,,74.55,2.6,,9.1,5.85,2016
SYNDICATE BANK,PUBLIC,0.9959258,0.7392485,0.2394749,0.6663649,0.4979629,0.6272568,,245437,20160331,12,IGAAP,65.17,,,,,,7.01,11.16,7.75,3.41,,11.16,7.92,0.86,1.11,6.7,4.48,-0.56,-0.551,64423.8,138321.6,38436.5,90148.7,46704.4,91711.6,64389.6,27321.7,101628,101595,33,,,,,,,78.88,2.28,,8.63,6.27,2016
PUNJAB & SIND BANK,PUBLIC,0.9951325,0.9459167,0.0135208,0.5884261,0.4867496,0.656849,Q4,183764,20160331,12,IGAAP,79.62,,11.75,8.77,67846.4,50640.7,9.29,10.91,9.29,1.62,,10.91,8.91,0.49,1.29,6.48,4.62,0.34,0.4,30821.9,42290.5,22660,29494.7,12667.1,40393.6,34528.7,5864.9,237,230,7,,,,,,,,2.22,,10.7,7.47,2016
ANDHRA BANK,PUBLIC,0.9960938,0.8888889,0.1914063,0.6631944,0.4418403,0.6573148,,15214,20160331,12,IGAAP,61.26,,11.86,8.96,,,7.77,11.58,8.81,2.77,,11.58,9.25,0.82,2.08,8.39,4.61,0.28,0.3,68765.4,114436.3,36886.3,60356.5,54079.8,113930.9,87261.2,26669.7,167,143,24,,,,,,,78.3,3.18,,10.71,7.18,2016
KARNATAKA BANK LTD.,PRIVATE,0.9981096,0.879017,0.1531191,0.6427221,0.4536862,0.7718188,,117230,20160331,12,IGAAP,,,,,,,10.56,12.03,10.56,1.47,,12.03,9.18,1,1.57,3.44,2.35,0.78,0.5,9442.1,11804,6235.5,7954.7,3708.4,18078.8,16729.9,1349,675,670,5,,,,,,,,,,,,2016
SOUTH INDIAN BANK LTD.,PRIVATE,0.9977324,0.8888889,0.1451247,0.6349206,0.4988662,0.9811304,,231715,20160331,12,IGAAP,,371993.4,11.82,9.83,,,9.83,11.82,9.83,1.99,43986.6,11.82,9.18,0.86,1.45,3.77,2.89,0.55,0.4,6434.5,15623.6,3570.5,11852.6,3646.1,13919.1,7835.9,6083.2,30,22,8,,,,,,,,,,,,2016
UCO BANK,PUBLIC,0.9957467,0.8936673,0.1063327,0.6351607,0.536862,1.048842,,256249,20160331,12,IGAAP,72.83,,,,,,7.52,9.63,7.63,2,,9.63,8.29,0.71,1.61,15.43,9.09,-1.25,-1.129,102650.5,209077.3,63305.8,114435.9,80020.7,130511.9,38249.5,70540.1,6204,6140,64,,,,,,,65.43,2.16,,10.17,6.11,2016
JAMMU & KASHMIR BANK LTD.,PRIVATE,0.9988889,0.8655555,0.0544444,0.6644444,0.5577778,1.458661,,107160,20160331,12,IGAAP,,,,,,,10.6,11.81,10.6,1.21,,11.81,9.42,0.69,2.29,8.32,4.31,0.57,0.4,27640.8,43686.1,12363.2,21639.5,21118,32353.5,25751.3,6598.5,5327,5319,8,,,,,,,47.2,,,10.9,6.34,2016
