Company,Sector,gen_index,educ_index,exp_index,ten_index,age_index,z_total_index,Quartiles,sa_finance1_cocode,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_pct_shares_hld_govt,sa_bd_tot_risk_wt_ast_and_contingencies,sa_bsl_cap_adeq_ratio,sa_bsl_t1_cap_adeq_ratio,sa_bsl_tot_elg_cap,sa_bsl_tier1_elg_cap,sa_bd_bsl3_cet1_cap_ratio,sa_bd_bsl3_cap_adeq_ratio,sa_bd_bsl3_t1_cap_adeq_ratio,sa_bd_bsl3_t2_cap_adeq_ratio,sa_bd_bsl3_cap_adeq_amt,sa_bd_cap_adeq_ratio_series,sa_bd_int_inc_pct_working_funds,sa_bd_non_int_inc_pct_working_funds,sa_bd_op_profit_pct_working_funds,sa_gnpa_advance,sa_bd_nnpa_pct_net_adv,sa_bd_return_on_ast,sa_bd_profit_per_employee,sa_bd_gross_npa_opening_bal,sa_bd_gross_npa_closing_bal,sa_bd_net_npa_opening_bal,sa_bd_net_npa_closing_bal,sa_bd_prov_for_npa,sa_total_gross_restruc_acs,sa_bd_non_corp_debt_restruct,sa_bd_corp_debt_restruct,sa_bd_total_no_borrower_restuct_acs,sa_bd_total_no_borrower_non_corp_debt_restruct,sa_bd_total_no_borrower_corp_debt_restruct,sa_bd_gross_npa_bank,sa_bd_gross_npa_rbi,sa_bd_divergence_gross_npa,sa_bd_net_npa_bank,sa_bd_net_npa_rbi,sa_bd_divergence_net_npa,sa_bd_credit_deposit_ratio,sa_net_int_margin,sa_bd_int_spread,sa_bd_avg_ret_on_adv,sa_bd_avg_cost_of_deposits,Year
BANDHAN BANK LTD.,PRIVATE,0.9876543,0.3950617,0.308642,0.2777778,0.6604939,-2.196645,,524457,20190331,12,IGAAP,,,,,,,27.88,29.2,27.88,1.32,,29.2,14.46,2.31,8.16,2.04,0.58,4.25,0.6,3731.4,8195.6,1729,2283.2,5912.4,,,,,,,,,,,,,,10.43,,,,2019
I C I C I BANK LTD.,PRIVATE,0.9744,0.51,0.1936,0.5976,0.6088,-1.579777,,96379,20190331,12,IGAAP,,6873750,,,,,13.63,16.89,15.09,1.8,,16.89,7.35,1.68,2.72,7.38,2.29,0.39,0.4,532401.8,456760.4,278235.6,134497.2,322263.2,95101.3,62054.2,33047.1,3392,3356,36,,,,,,,,3.42,2.93,8.96,487,2019
INDUSIND BANK LTD.,PRIVATE,0.9856,0.64,0.1296,0.5184,0.4352,-1.554394,,100224,20190331,12,IGAAP,,,,,,,12.07,14.16,13.7,0.46,,14.16,9.38,2.38,3.41,2.1,1.21,1.39,1.19,17049.1,39474.1,7456.7,22482.8,16991.3,2750.5,2421.7,328.8,3797,3795,2,,,,,,,,3.8,,11.26,6.58,2019
KARNATAKA BANK LTD.,PRIVATE,0.9940829,0.852071,0.1198225,0.5118343,0.3106509,-0.9869842,,117230,20190331,12,IGAAP,,,,,,,11.17,13.17,11.17,2,,13.17,7.89,1.34,1.94,4.41,2.95,0.64,0.6,23760.7,24563.8,14005.1,16167.1,8105.5,8724,8724,,468,468,,,,,,,,,,,,,2019
KARUR VYSYA BANK LTD.,PRIVATE,0.9985207,0.5207101,0.0236686,0.6390532,0.2692308,-0.9185749,,117648,20190331,12,IGAAP,,,,,,,14.28,16,14.28,1.72,,16,8.45,1.4,2.49,8.79,4.98,0.31,0.275,30157.6,44495.7,18628.3,24203.4,19611.9,7505,6957.4,547.6,85,83,2,,,,,,,,3.67,,9.75,5.8,2019
AXIS BANK LTD.,PRIVATE,0.9851279,0.3908388,0.0856633,0.6472338,0.5901249,-0.8489993,,256066,20190331,12,IGAAP,,5520480.6,,,,,11.27,15.87,12.54,3.3,874595.8,15.87,7.38,1.76,2.55,5.31,2.2,0.63,0.761,342486.4,297894.4,165917.1,112756,183507.9,65255.8,55664.4,9591.5,898,886,12,,,,,,,,3.43,,9.44,5.12,2019
YES BANK LTD.,PRIVATE,0.9892985,0.4244947,0.1189061,0.6539834,0.5659928,-0.5210289,,354608,20190331,12,IGAAP,,,,,,,8.4,16.5,11.3,5.2,504591.3,16.5,9,1.4,2.47,,1.86,0.52,0.9,26268,78825.6,13127.5,44848.5,33977.2,1215.8,972.8,243,5,5,2,,,,,,,106.01,3.2,,,,2019
D C B BANK LTD.,PRIVATE,0.9936,0.36,0.0144,0.6016001,0.5952,-0.4723673,,59045,20190331,12,IGAAP,,221746.6,,,,,13.1,16.81,13.1,3.71,37275.9,16.81,9.27,1.07,1.97,1.84,0.65,0.99,0.5,3690.3,4394.8,1467.2,1537.7,2857.1,782.4,782.4,,92,92,,,,,,,,,3.83,,,,2019
I D B I BANK LTD.,PRIVATE,0.994898,0.3252551,0.1686862,0.6600765,0.53125,-0.4257556,Q2,100283,20190331,12,IGAAP,46.46,,,,,,8.91,11.58,9.13,2.45,,11.58,6.84,1.02,1.26,27.47,10.11,-4.68,-8.8,555882.5,500279.4,286651.4,148374.4,351904.9,124608.8,110596.2,14012.5,3596,3570,26,555882.5,598404.6,42522.1,286651.4,288869.4,2218,,,,,,2019
LAKSHMI VILAS BANK LTD.,PRIVATE,0.9960938,0.609375,0.1650391,0.6542969,0.4472656,-0.0849536,,126471,20190331,12,IGAAP,,,,,,,5.72,7.72,5.72,2,,7.72,7.41,0.65,-0.03,,7.49,-2.32,-0.018,26942.1,33589.9,14578.9,15062.9,17852.7,4909.7,2223.8,2685.9,,12,4,26942.1,28359.1,1417,14578.9,14370.9,-208,,1.65,,,,2019
BANK OF BARODA,PUBLIC,0.9930556,0.5330555,0.1736111,0.6594445,0.5461111,-0.0472945,,30136,20190331,12,IGAAP,63.26,,,,,,10.38,13.42,11.55,1.87,,13.42,7.26,0.88,1.96,9.61,3.33,0.06,0.8,564803.8,482327.6,234826.5,156095,326232.6,144688,131604.9,13083.1,24986,24973,13,,,,,,,80.27,2.72,2.71,7.65,4.68,2019
UNITED BANK OF INDIA,PUBLIC,0.9822222,0.8024691,0.0316049,0.6360494,0.6311111,-0.043245,,257827,20190331,12,IGAAP,96.83,,13,10.14,,,10.14,13,10.14,2.86,77280,13,5.91,1.65,0.97,16.48,8.67,-1.6,1.023,165521.1,120533.8,103163,57856.1,61683.1,26161.9,12866.3,25964.5,8584,8637,-53,165521.1,165791.1,270,103163,97133,-6030,54.17,2.1,,7.49,4.96,2019
CANARA BANK,PUBLIC,0.9872529,0.7167013,0.1376171,0.644641,0.5806452,-0.0153734,,41860,20190331,12,IGAAP,70.62,,,,,,8.31,11.9,9.04,2.86,,11.9,7.59,1.27,1.72,9.63,5.37,0.06,0.1,474684.7,392241.2,285424,229551.1,160477.7,128517.7,75674.2,52843.5,41468,41430,38,,,,,,,,2.63,,8.39,5.66,2019
FEDERAL BANK LTD.,PRIVATE,0.9958377,0.6628512,0.3007284,0.6368366,0.4807492,0.0672732,,72607,20190331,12,IGAAP,,937643.2,,,,,13.38,14.14,13.38,0.76,132601.8,14.14,8.05,0.95,1.95,2.92,1.48,0.88,1,27956.2,32606.8,15519.6,16262,16063.2,8095.3,6972.2,1123.1,1613,1607,6,,,,,,,,3.14,,9.24,5.78,2019
STATE BANK OF INDIA,PUBLIC,0.9926531,0.6734694,0.0661225,0.6395918,0.5322449,0.0757729,,236328,20190331,12,IGAAP,57.13,,12.85,10.38,,,9.62,12.72,10.65,2.07,,12.72,6.55,0.99,1.49,7.53,3.01,0.02,0.033,2234274.6,1727503.6,1108547,658947.4,1068556.2,205620.8,135234.2,70386.7,1895,1838,57,,,,,,,,,,0.02,,2019
KOTAK MAHINDRA BANK LTD.,PRIVATE,0.9979339,0.4028926,0.0020661,0.5991735,0.6487603,0.1689749,,122573,20190331,12,IGAAP,,,,,,,16.72,17.45,16.93,0.52,,17.45,8.33,1.6,2.9,2.14,0.75,1.69,1.2,38253.8,44679.4,16650.5,15443.7,29235.7,6128.1,3731.9,2396.2,7668,7660,8,,,,,,,91.1,4.3,,,,2019
BANK OF INDIA,PUBLIC,0.9880371,0.6835938,0.0549316,0.6391602,0.6347656,0.1713417,,30148,20190331,12,IGAAP,87.05,,,,,,11.01,14.19,11.07,3.12,,14.19,6.14,0.77,1.22,15.43,5.61,-0.84,-1.13,649230.6,631292.4,301185.3,213751.6,396036.1,186610,143070,43540,30382,30368,23,623284.6,625734.6,2450,282072.7,270333.7,-11739,,2.56,,8.23,4.5,2019
