Company,Sector,gen_index,educ_index,exp_index,ten_index,age_index,z_total_index,Quartiles,sa_finance1_cocode,sa_finance1_year,sa_ann_rep_months,sa_fs_format,sa_pct_shares_hld_govt,sa_bd_tot_risk_wt_ast_and_contingencies,sa_bsl_cap_adeq_ratio,sa_bsl_t1_cap_adeq_ratio,sa_bsl_tot_elg_cap,sa_bsl_tier1_elg_cap,sa_bd_bsl3_cet1_cap_ratio,sa_bd_bsl3_cap_adeq_ratio,sa_bd_bsl3_t1_cap_adeq_ratio,sa_bd_bsl3_t2_cap_adeq_ratio,sa_bd_bsl3_cap_adeq_amt,sa_bd_cap_adeq_ratio_series,sa_bd_int_inc_pct_working_funds,sa_bd_non_int_inc_pct_working_funds,sa_bd_op_profit_pct_working_funds,sa_gnpa_advance,sa_bd_nnpa_pct_net_adv,sa_bd_return_on_ast,sa_bd_profit_per_employee,sa_bd_gross_npa_opening_bal,sa_bd_gross_npa_closing_bal,sa_bd_net_npa_opening_bal,sa_bd_net_npa_closing_bal,sa_bd_prov_for_npa,sa_total_gross_restruc_acs,sa_bd_non_corp_debt_restruct,sa_bd_corp_debt_restruct,sa_bd_total_no_borrower_restuct_acs,sa_bd_total_no_borrower_non_corp_debt_restruct,sa_bd_total_no_borrower_corp_debt_restruct,sa_bd_gross_npa_bank,sa_bd_gross_npa_rbi,sa_bd_divergence_gross_npa,sa_bd_net_npa_bank,sa_bd_net_npa_rbi,sa_bd_divergence_net_npa,sa_bd_credit_deposit_ratio,sa_net_int_margin,sa_bd_int_spread,sa_bd_avg_ret_on_adv,sa_bd_avg_cost_of_deposits,Year
SOUTH INDIAN BANK LTD.,PRIVATE,0.9984,0.84,0.1296,0.6208,0.4032,0.2516559,Q3,231715,20190331,12,IGAAP,,514020.7,12.61,9.97,,,9.97,12.61,9.97,2.64,64810.2,12.61,7.94,0.84,1.43,4.92,3.45,0.29,0.3,19803,31316.6,14158,21636.2,9378.4,1392.2,2573,410.2,43755,1341,3,,,,,,,,,,,,2019
CORPORATION BANK,PUBLIC,0.9954036,0.6871588,0.1266877,0.6251077,0.5377765,0.2685945,,51380,20190331,12,IGAAP,93.5,,,,,,10.39,12.3,10.52,1.78,,12.3,7.74,0.93,1.93,15.35,5.71,-3.14,-3.6,222134.4,207236.8,140770.2,69266.4,135253.8,102589.8,57533.9,45055.9,1554,1504,50,222134.4,225950.4,3816,140770.2,138368.2,-2402,65.69,3.05,,9.43,5.4,2019
H D F C BANK LTD.,PRIVATE,0.9940829,0.6213018,0.0369822,0.6420118,0.5769231,0.2697294,,88297,20190331,12,IGAAP,,9319298.7,,,,,14.93,17.11,15.78,1.33,1594576.4,17.11,8.93,1.59,3.58,1.36,0.39,1.9,2.3,86069.7,112241.6,26010.2,32145.2,80096.4,3094.8,2528.1,566.7,13,9,4,,,,,,,,4.3,,,,2019
INDIAN OVERSEAS BANK,PUBLIC,0.9907544,0.8210059,0.1198225,0.6294379,0.5650887,0.3441169,,98918,20190331,12,IGAAP,92.52,,,,,,7.82,10.21,7.85,2.36,,10.21,7.04,1.68,2,21.97,10.81,1.35,-1.4,381801.5,333981.2,203996.6,143683,186472.3,137147.3,95792.6,41354.7,8654,8627,27,381801.5,385177.5,3376,203996.6,207372.6,3376,,2.08,,7.41,5.39,2019
BANK OF MAHARASHTRA,PUBLIC,0.9895877,0.8650562,0.0816327,0.6130779,0.5989171,0.4123108,,30153,20190331,12,IGAAP,87.74,,,,,,9.88,11.86,9.91,1.95,,11.86,6.82,0.97,1.38,16.4,5.52,-3.01,-3.705,184332.3,153244.9,97271.9,45593.3,107217.3,,,,,,,184332.3,185624.3,1292,96411.9,94530.8,-1881.1,66.45,2.53,,,4.99,2019
R B L BANK LTD.,PRIVATE,0.9972299,0.6011081,0.0692521,0.6371191,0.5706371,0.4162219,,194815,20190331,12,IGAAP,,,,,,,12.1,13.46,12.1,1.36,,13.46,9.42,2.16,2.9,1.38,1.38,1.3,1.5,5667.3,7546.2,3125.6,3727.4,3818.8,151.4,151.4,,5,5,,,,,,,,,4.14,,,,2019
INDIAN BANK,PUBLIC,0.9936,0.7084,0.1024,0.6632,0.5784,0.5379115,,98668,20190331,12,IGAAP,81.49,,,,,,10.96,13.21,11.29,1.92,,13.21,7.32,0.72,1.86,7.11,3.75,0.12,0.2,119901.4,133534.5,59595.6,67931.1,61318.6,54275.5,49802.2,4473.3,33456,33450,6,119901.4,121686.4,1785,59595.6,60009.6,414,77.62,2.96,,8.45,5.28,2019
ALLAHABAD BANK,PUBLIC,0.9937012,0.8163265,0.1836735,0.6449987,0.5437138,0.5485059,,11019,20190331,12,IGAAP,85.82,,12.51,9.68,,,9.65,12.51,9.68,2.83,,12.51,7.03,0.71,1.15,17.55,5.22,-3.48,-3.6,265627.9,287047.8,122291.3,74193.1,212614.5,4955,4955,,5371,727,,265627.9,276914.9,11287,122291,129383,7092,76.32,2.58,,7.89,5.1,2019
CENTRAL BANK OF INDIA,PUBLIC,0.9889197,0.8227147,0.1111111,0.6500462,0.6346568,0.6018319,,43461,20190331,12,IGAAP,91.2,,,,,,7.49,9.31,7.49,2.12,,9.31,6.81,0.73,0.94,19.29,7.73,-1.7,-1.555,381307,323560.4,173778.7,113332.4,199335.8,50308.6,35154.4,15154.2,14679,14660,19,381307,387669,6362,173778.7,178306.7,4528,55.94,2.54,,7.28,5.21,2019
ANDHRA BANK,PUBLIC,0.9940829,0.852071,0.1956361,0.6065089,0.5821006,0.6259306,Q4,15214,20190331,12,IGAAP,90.85,,,,,,8.42,13.68,10.38,3.3,,13.68,7.44,0.8,1.97,16.21,5.73,-1.09,-0.014,281243.6,289739.7,126368.7,90914,198482.1,7313.1,7313.1,,16,16,,281243.6,282341.6,1098,126368.7,121651.7,-4717,81.29,3.31,,8.54,5.53,2019
CITY UNION BANK LTD.,PRIVATE,0.9965398,0.5813149,0.0865052,0.650519,0.6574394,0.7506257,,48177,20190331,12,IGAAP,,,,,,,13.16,15.55,15.03,0.52,,15.55,9.06,1.24,2.98,2.95,1.81,1.64,1.2,8565.5,5116.6,4747.8,5914.6,3812.8,1312.3,1312.3,,103,103,,,,,,,,,4.32,,10.95,6.17,2019
PUNJAB NATIONAL BANK,PUBLIC,0.9932814,0.7739855,0.0604676,0.6573502,0.6401505,0.8889004,,183861,20190331,12,IGAAP,75.41,,,,,,6.2,9.73,7.49,2.24,,9.73,6.44,0.93,1.63,15.5,6.56,-1.25,-1.5,866200.5,784727,486842.9,300376.6,481198.1,47154.3,41151.5,6002.9,1765,1758,7,866200.5,875157.5,8957,486842.9,458131.9,-28711,67.79,2.41,,7.72,5.14,2019
UNION BANK OF INDIA,PUBLIC,0.996213,0.6759763,0.1725444,0.6589349,0.6456804,0.9281811,,257360,20190331,12,IGAAP,74.27,2783440,,,,,8.02,11.78,9.48,2.3,,11.78,6.85,0.9,1.51,14.98,6.85,-0.59,-0.8,493699.3,487291.5,243263.1,203324.2,283967.3,115498,80479.2,35018.9,10427,7402,25,493700,502370,8670,243260,229120,-14140,79.27,2.23,2.05,7.71,5.57,2019
SYNDICATE BANK,PUBLIC,0.9952437,0.7669441,0.1438763,0.6593341,0.6189061,0.9449909,,245437,20190331,12,IGAAP,84.66,,,,,,9.31,14.23,11.36,2.87,,14.23,7.28,0.74,0.94,11.37,6.16,-0.87,-0.82,257586,246803.7,132394.6,126277.3,118130.4,40862.5,33640.1,7222.4,88706,88699,8,,,,,,,83.55,2.42,,7.52,5.13,2019
JAMMU & KASHMIR BANK LTD.,PRIVATE,0.9977324,0.7953514,0.0459184,0.6111111,0.6247165,0.9828281,,107160,20190331,12,IGAAP,,,,,,,9.13,12.46,9.13,1.86,,12.46,8.05,0.85,1.8,8.97,4.89,0.49,0.4,60067,62213.5,27911.2,32396.1,28680.1,49995.7,49598,397.7,32169,32162,7,60067,65157,5090,27911.2,31948.2,4037,49.52,,,9.05,4.9,2019
DHANLAXMI BANK LTD.,PRIVATE,0.9917355,0.9127066,0.0129132,0.6487603,0.6311983,0.997175,,59594,20190331,12,IGAAP,,60136.1,,,,,10.57,13.75,10.57,3.18,8269.1,13.75,7.73,0.42,0.76,7.47,2.41,0.1,0.1,4693.1,4958.4,1946.5,1517.1,3437.3,985.4,775,210.4,308,305,3,,,,,,,,,,,,2019
UCO BANK,PUBLIC,0.9966716,0.8801775,0.0832101,0.6390532,0.5924556,1.09362,,256249,20190331,12,IGAAP,93.29,,,,,,8.64,10.7,8.64,2.06,,10.7,6.11,0.65,1.18,25,9.72,-1.84,-1.864,305499.2,298883.3,140820.7,96499.2,189937.1,84164.7,56201.4,27577.4,5482,5443,37,305499.2,305472.4,-26.8,140820.7,134186.3,-6634.4,60.42,1.84,,9.52,5.07,2019
ORIENTAL BANK OF COMMERCE,PUBLIC,0.9957001,0.9129266,0.0268745,0.6234883,0.6439129,1.22975,,164888,20190331,12,IGAAP,87.58,,,,,,9.86,12.73,9.98,2.75,,12.73,7.11,1.06,1.49,12.66,5.93,0.02,0.025,261336.4,217170.7,142828.8,94396.2,121203.8,45385,33049.5,10547.6,4575,4565,10,,,,,,,73.77,2.18,,,5.64,2019
PUNJAB & SIND BANK,PUBLIC,0.9966716,0.9167899,0.0133136,0.6442308,0.6486686,1.436727,,183764,20190331,12,IGAAP,85.56,,10.71,8.27,117522.1,57517.2,7.8,10.93,9.5,1.43,,10.93,7.42,0.72,1.21,,7.22,-0.47,-0.606,78016.5,86058.7,46078.7,49942.3,35636,4265.7,3538,,1221,1221,,78016.5,78884.5,868,46078.7,45245.7,-833,,,,8.61,6.01,2019
